"ID";"Leefomgeving";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"259";"18900";"53850";"2012JJ00";"      27";"      73";"      26";"      74"
"260";"18900";"15700";"2003JJ00";"      19";"      81";"      16";"      84"
"261";"18900";"15700";"2004JJ00";"      17";"      83";"      13";"      87"
"262";"18900";"15700";"2005JJ00";"      18";"      82";"      13";"      87"
"263";"18900";"15700";"2006JJ00";"      17";"      83";"      12";"      88"
"264";"18900";"15700";"2007JJ00";"      18";"      82";"      14";"      86"
"265";"18900";"15700";"2008JJ00";"      18";"      82";"      14";"      86"
"266";"18900";"15700";"2009JJ00";"      18";"      82";"      15";"      85"
"267";"18900";"15700";"2010XX00";"      20";"      80";"      20";"      80"
"268";"18900";"15700";"2010JJ00";"      18";"      82";"      16";"      84"
"269";"18900";"15700";"2012JJ00";"      21";"      79";"      14";"      86"
"270";"18900";"12600";"2003JJ00";"      12";"      88";"      12";"      88"
"271";"18900";"12600";"2004JJ00";"      12";"      88";"      13";"      87"
"272";"18900";"12600";"2005JJ00";"      13";"      87";"      15";"      85"
"273";"18900";"12600";"2006JJ00";"      11";"      89";"      12";"      88"
"274";"18900";"12600";"2007JJ00";"      11";"      89";"      12";"      88"
"275";"18900";"12600";"2008JJ00";"      12";"      88";"      12";"      88"
"276";"18900";"12600";"2009JJ00";"      11";"      89";"      12";"      88"
"277";"18900";"12600";"2010XX00";"      12";"      88";"      14";"      86"
"278";"18900";"12600";"2010JJ00";"      14";"      86";"      15";"      85"
"279";"18900";"12600";"2012JJ00";"      18";"      82";"      17";"      83"
"280";"18900";"12650";"2003JJ00";"      18";"      82";"      19";"      81"
"281";"18900";"12650";"2004JJ00";"      15";"      85";"      16";"      84"
"282";"18900";"12650";"2005JJ00";"      18";"      82";"      19";"      81"
"283";"18900";"12650";"2006JJ00";"      12";"      88";"      13";"      87"
"284";"18900";"12650";"2007JJ00";"      13";"      87";"      15";"      85"
"285";"18900";"12650";"2008JJ00";"      14";"      86";"      18";"      82"
"286";"18900";"12650";"2009JJ00";"      14";"      86";"      19";"      81"
"287";"18900";"12650";"2010XX00";"       .";"       .";"       .";"       ."
"288";"18900";"12650";"2010JJ00";"      24";"      76";"      19";"      81"
"289";"18900";"12650";"2012JJ00";"       .";"       .";"       .";"       ."
"290";"18900";"13000";"2003JJ00";"      25";"      75";"      24";"      76"
"291";"18900";"13000";"2004JJ00";"      27";"      73";"      25";"      75"
"292";"18900";"13000";"2005JJ00";"      26";"      74";"      28";"      72"
"293";"18900";"13000";"2006JJ00";"      23";"      77";"      25";"      75"
"294";"18900";"13000";"2007JJ00";"      24";"      76";"      15";"      85"
"295";"18900";"13000";"2008JJ00";"      26";"      74";"      20";"      80"
"296";"18900";"13000";"2009JJ00";"      21";"      79";"      26";"      74"
"297";"18900";"13000";"2010XX00";"       .";"       .";"       .";"       ."
"298";"18900";"13000";"2010JJ00";"      24";"      76";"      20";"      80"
"299";"18900";"13000";"2012JJ00";"       .";"       .";"       .";"       ."
"300";"18950";"10001";"2003JJ00";"      12";"      88";"      13";"      87"
"301";"18950";"10001";"2004JJ00";"      11";"      89";"      13";"      87"
"302";"18950";"10001";"2005JJ00";"      11";"      89";"      11";"      89"
"303";"18950";"10001";"2006JJ00";"      12";"      88";"      13";"      87"
"304";"18950";"10001";"2007JJ00";"      10";"      90";"      10";"      90"
"305";"18950";"10001";"2008JJ00";"      11";"      89";"      11";"      89"
"306";"18950";"10001";"2009JJ00";"      10";"      90";"      13";"      87"
"307";"18950";"10001";"2010XX00";"      11";"      89";"      12";"      88"
"308";"18950";"10001";"2010JJ00";"      15";"      85";"      14";"      86"
"309";"18950";"10001";"2012JJ00";"      16";"      84";"      14";"      86"
"310";"18950";"15400";"2003JJ00";"      10";"      90";"      12";"      88"
"311";"18950";"15400";"2004JJ00";"      10";"      90";"      12";"      88"
"312";"18950";"15400";"2005JJ00";"       9";"      91";"      10";"      90"
"313";"18950";"15400";"2006JJ00";"      10";"      90";"      14";"      86"
"314";"18950";"15400";"2007JJ00";"      10";"      90";"      10";"      90"
"315";"18950";"15400";"2008JJ00";"      11";"      89";"      10";"      90"
"316";"18950";"15400";"2009JJ00";"       8";"      92";"      12";"      88"
"317";"18950";"15400";"2010XX00";"      10";"      90";"      12";"      88"
"318";"18950";"15400";"2010JJ00";"      15";"      85";"      15";"      85"
"319";"18950";"15400";"2012JJ00";"      17";"      83";"      14";"      86"
"320";"18950";"15450";"2003JJ00";"      13";"      87";"      14";"      86"
"321";"18950";"15450";"2004JJ00";"      13";"      87";"      13";"      87"
"322";"18950";"15450";"2005JJ00";"      13";"      87";"      12";"      88"
"323";"18950";"15450";"2006JJ00";"      13";"      87";"      13";"      87"
"324";"18950";"15450";"2007JJ00";"      10";"      90";"      10";"      90"
"325";"18950";"15450";"2008JJ00";"      12";"      88";"      12";"      88"
"326";"18950";"15450";"2009JJ00";"      12";"      88";"      14";"      86"
"327";"18950";"15450";"2010XX00";"      12";"      88";"      11";"      89"
"328";"18950";"15450";"2010JJ00";"      15";"      85";"      12";"      88"
"329";"18950";"15450";"2012JJ00";"      14";"      86";"      13";"      87"
"330";"18950";"53110";"2003JJ00";"       8";"      92";"      11";"      89"
"331";"18950";"53110";"2004JJ00";"       7";"      93";"       9";"      91"
"332";"18950";"53110";"2005JJ00";"       8";"      92";"      11";"      89"
"333";"18950";"53110";"2006JJ00";"       9";"      91";"      14";"      86"
"334";"18950";"53110";"2007JJ00";"       6";"      94";"       7";"      93"
"335";"18950";"53110";"2008JJ00";"       9";"      91";"       8";"      92"
"336";"18950";"53110";"2009JJ00";"      12";"      88";"      15";"      85"
"337";"18950";"53110";"2010XX00";"       7";"      93";"      10";"      90"
"338";"18950";"53110";"2010JJ00";"      12";"      88";"      10";"      90"
"339";"18950";"53110";"2012JJ00";"       .";"       .";"       .";"       ."
